Temperature (°C),Humidity (%),Soil Type,Soil Moisture (%),Rainfall (mm),Wind Speed (m/s),Sprinkler Flow Rate (L/min),Evapotranspiration Rate (mm),Crop Type,Irrigation Duration (min)
33.551187992721786,63.25177216736404,Clay,31.135636779030538,5.41147044585565,0.6747012250729021,25,4.490059044286759,Corn,43.23849210540254
30.61588839951536,59.66992571536575,Clay,29.45868588477906,8.465737465375133,5.485897595351604,30,5.158768359021857,Tomato,48.08867744548657
28.68443942351565,39.61231078179737,Clay,14.271371456985403,6.643602414780414,2.6318427306180405,30,4.394812488475173,Lettuce,57.70027279609108
32.89626265037942,58.68937936385326,Clay,22.727911299895048,8.381212873503932,2.492786182443446,15,4.788183501526631,Wheat,56.93077709749224
31.648997896956047,48.065038303927196,Loamy,20.380403431313148,7.314735955529896,4.944715736479146,30,5.153842936991435,Soybean,55.89806637670269
37.42568686011131,69.12813742020904,Sandy,0.0,7.750584796356012,3.5626263366707223,15,5.455093953345275,Corn,70.0
21.142226474690414,59.2216051440098,Loamy,32.44730122231579,5.535900186013757,5.9732453595955075,20,4.308871719388143,Corn,29.76672562440214
34.00377969441191,69.65039396975995,Loamy,8.992007201963428,8.496729942075612,0.24938890246302048,30,4.450255749933795,Tomato,70.0
21.765581215847085,62.16183145246465,Sandy,16.832207364841516,9.172166568760456,3.069161498386328,20,3.790390421261974,Soybean,53.27770698852648
20.276846391638937,48.66262635854379,Sandy,5.874351064274135,6.5189968201216955,3.7717629785446203,15,3.782037234872818,Wheat,57.440488967608196
32.974167271398215,35.71857149488093,Loamy,9.49675445911274,3.1370394385882374,3.1143796622684947,30,4.92029265959352,Tomato,59.75149168946196
27.924016166594374,32.10105133533263,Loamy,30.77595456467005,9.268077072338238,5.013424257370131,15,4.795086468133464,Wheat,45.6842157466008
21.215946956368622,69.63646623653847,Clay,46.02717976810439,3.1482675771606017,3.93799663266097,20,3.909194022169056,Tomato,20.0
27.972305714927018,55.06559751635599,Sandy,0.0,3.7412523302569225,5.141438788081459,20,4.825518329108994,Soybean,65.45481037544086
22.7608117824915,73.62994729099498,Clay,24.485821928521183,3.1202157451328363,1.4437619620437367,25,3.5648335706578975,Soybean,34.51542134423599
36.43581022902742,54.34771162422655,Clay,23.524947941321418,9.795909509372771,5.5691378362560995,30,5.757408590153962,Corn,62.502681306451535
21.164756093800207,76.43432753972755,Clay,14.199807652187479,3.29777135053416,4.464207784778962,30,4.009317166335813,Wheat,43.560491142681045
34.53530992942014,59.615815130816245,Sandy,0.0,9.98164412151088,4.478025075665775,20,5.349136008075169,Corn,70.0
30.23243934199107,38.43339758179148,Sandy,1.5710004715550365,9.799309506925377,3.2730624676397673,25,4.677856427727061,Corn,70.0
